,id,date,sentiment,irony
0,1791651832508326144,2024-05-18,NEG,not ironic
1,1791651831925367040,2024-05-18,POS,not ironic
2,1791651831665377536,2024-05-18,NEU,not ironic
3,1791651824795304192,2024-05-18,NEG,not ironic
4,1791651823381541376,2024-05-18,NEU,not ironic
5,1791651817937355008,2024-05-18,NEU,ironic
6,1791651811591418368,2024-05-18,NEG,not ironic
7,1791651810924433920,2024-05-18,POS,ironic
8,1791651805048500224,2024-05-18,NEG,ironic
9,1791651804910149632,2024-05-18,NEG,not ironic
10,1791651802250699008,2024-05-18,NEU,not ironic
11,1791651801436987648,2024-05-18,NEU,not ironic
12,1791651796236083456,2024-05-18,NEU,not ironic
13,1791651796139565312,2024-05-18,POS,not ironic
14,1791651794868969728,2024-05-18,NEG,not ironic
15,1791651794432479488,2024-05-18,NEG,ironic
16,1791651793434218752,2024-05-18,NEU,not ironic
17,1791651793190940928,2024-05-18,POS,not ironic
18,1791651793060917504,2024-05-18,NEG,ironic
19,1791651788338418176,2024-05-18,NEU,ironic
20,1791651787117666560,2024-05-18,NEU,not ironic
21,1791651786031587584,2024-05-18,NEG,ironic
22,1791651785679257856,2024-05-18,POS,ironic
23,1791651784622273024,2024-05-18,NEG,not ironic
24,1791651784177414656,2024-05-18,NEU,not ironic
25,1791651783409799424,2024-05-18,NEG,not ironic
26,1791651780960399616,2024-05-18,NEU,not ironic
27,1791651780104716288,2024-05-18,NEU,ironic
28,1791651779211411712,2024-05-18,NEG,not ironic
29,1791651776812446208,2024-05-18,NEG,not ironic
30,1791651771661639680,2024-05-18,NEG,ironic
31,1791651767794491904,2024-05-18,NEG,ironic
32,1791651767752765440,2024-05-18,NEG,not ironic
33,1791651765311406592,2024-05-18,NEG,ironic
34,1791651763247841792,2024-05-18,NEG,ironic
35,1791651760857096704,2024-05-18,NEG,ironic
36,1791651760156655616,2024-05-18,NEG,ironic
37,1791651758248177920,2024-05-18,NEU,not ironic
38,1791651756012716288,2024-05-18,NEU,not ironic
39,1791651753705751040,2024-05-18,NEU,not ironic
40,1791651753223434240,2024-05-18,NEG,ironic
41,1791651752304926720,2024-05-18,NEG,not ironic
42,1791651741899132928,2024-05-18,NEG,ironic
43,1791651741726880000,2024-05-18,POS,ironic
44,1791651740401446912,2024-05-18,POS,ironic
45,1791651739361230848,2024-05-18,NEU,not ironic
46,1791651735984873984,2024-05-18,NEG,not ironic
47,1791651735871836416,2024-05-18,NEG,not ironic
48,1791651734839865600,2024-05-18,NEG,ironic
49,1791651734772687360,2024-05-18,NEG,not ironic
50,1791651734533574656,2024-05-18,NEG,not ironic
51,1791651729664041216,2024-05-18,NEG,ironic
52,1791651729353605376,2024-05-18,NEU,not ironic
53,1791651726669250816,2024-05-18,NEG,not ironic
54,1791651719916438016,2024-05-18,POS,ironic
55,1791651718725521664,2024-05-18,NEU,not ironic
56,1791651718649766144,2024-05-18,NEU,not ironic
57,1791651711846916352,2024-05-18,NEG,ironic
58,1791651711809118208,2024-05-18,POS,not ironic
59,1791651711649530112,2024-05-18,NEG,not ironic
60,1791651710382817792,2024-05-18,NEU,not ironic
61,1791651708470169600,2024-05-18,POS,ironic
62,1791651706855395840,2024-05-18,NEG,ironic
63,1791651706708603136,2024-05-18,NEU,not ironic
64,1791651699335028992,2024-05-18,NEU,not ironic
65,1791651698924233216,2024-05-18,POS,ironic
66,1791651695241445888,2024-05-18,POS,not ironic
67,1791651694163411200,2024-05-18,POS,ironic
68,1791651685401579776,2024-05-18,NEU,not ironic
69,1791651685284114688,2024-05-18,NEU,not ironic
70,1791651678787084544,2024-05-18,NEU,ironic
71,1791651678384488960,2024-05-18,NEU,not ironic
72,1791651678095024128,2024-05-18,POS,not ironic
73,1791651677008777472,2024-05-18,NEG,not ironic
74,1791651675087712512,2024-05-18,NEG,not ironic
75,1791651674693754880,2024-05-18,NEG,not ironic
76,1791651674551206144,2024-05-18,POS,ironic
77,1791651671845527808,2024-05-18,NEU,not ironic
78,1791651670662782976,2024-05-18,NEU,not ironic
79,1791651667714208000,2024-05-18,NEU,not ironic
80,1791651667533848832,2024-05-18,NEG,not ironic
81,1791651663486353664,2024-05-18,NEG,not ironic
82,1791651654451761664,2024-05-18,NEU,ironic
83,1791651652090343680,2024-05-18,NEG,ironic
84,1791651647145349120,2024-05-18,NEU,not ironic
85,1791651646881091584,2024-05-18,NEG,not ironic
86,1791651646767808512,2024-05-18,NEG,ironic
87,1791651643798573568,2024-05-18,NEG,ironic
88,1791651639482564864,2024-05-18,POS,not ironic
89,1791651639348367360,2024-05-18,NEU,not ironic
90,1791651634918850560,2024-05-18,NEU,ironic
91,1791651634088444416,2024-05-18,NEG,not ironic
92,1791651629403353600,2024-05-18,POS,not ironic
93,1791651625460814336,2024-05-18,NEU,ironic
94,1791651623011315968,2024-05-18,NEG,not ironic
95,1791651621019017216,2024-05-18,NEG,ironic
96,1791651619068649728,2024-05-18,NEG,ironic
97,1791651616711668224,2024-05-18,POS,not ironic
98,1791651612081152256,2024-05-18,NEG,not ironic
99,1791651606586699776,2024-05-18,NEU,not ironic
100,1791651603251888640,2024-05-18,NEU,ironic
101,1791651602866082048,2024-05-18,NEG,not ironic
102,1791651592782955008,2024-05-18,NEU,not ironic
103,1791651588546744320,2024-05-18,POS,ironic
104,1791651587342864640,2024-05-18,POS,ironic
105,1791651583115272192,2024-05-18,POS,ironic
106,1791651582649471232,2024-05-18,NEG,not ironic
107,1791651579134693632,2024-05-18,POS,not ironic
108,1791651578530701568,2024-05-18,NEU,not ironic
109,1791651578274873600,2024-05-18,NEU,not ironic
110,1791651575322345728,2024-05-18,NEU,not ironic
111,1791651574009192448,2024-05-18,NEG,not ironic
112,1791651571752702208,2024-05-18,NEG,not ironic
113,1791651565687681536,2024-05-18,POS,not ironic
114,1791651565407002880,2024-05-18,POS,not ironic
115,1791651563141726208,2024-05-18,NEU,not ironic
116,1791651556636692736,2024-05-18,NEU,ironic
117,1791651554736341248,2024-05-18,NEU,ironic
118,1791651550655619328,2024-05-18,NEG,ironic
119,1791651548625240320,2024-05-18,NEG,ironic
120,1791651547803189504,2024-05-18,POS,ironic
121,1791651541499396608,2024-05-18,NEG,not ironic
122,1791651540744409600,2024-05-18,POS,ironic
123,1791651538995400704,2024-05-18,NEG,ironic
124,1791651532187852800,2024-05-18,NEU,not ironic
125,1791651530749145344,2024-05-18,POS,not ironic
126,1791651525015834880,2024-05-18,NEU,not ironic
127,1791651518933839872,2024-05-18,NEU,not ironic
128,1791651515834265856,2024-05-18,NEU,not ironic
129,1791651511371751936,2024-05-18,NEG,ironic
130,1791651506191495168,2024-05-18,NEU,not ironic
131,1791651504639672576,2024-05-18,NEG,ironic
132,1791651504320839680,2024-05-18,NEG,ironic
133,1791651503792435456,2024-05-18,NEG,not ironic
134,1791651503318389248,2024-05-18,NEU,ironic
135,1791651500986388736,2024-05-18,NEU,ironic
136,1791651499401228544,2024-05-18,NEU,ironic
137,1791651498490790144,2024-05-18,POS,not ironic
138,1791651497140421120,2024-05-18,NEU,not ironic
