,id,date,sentiment,irony
0,1815072889034408359,2024-07-21,POS,ironic
1,1815072888241746287,2024-07-21,NEG,not ironic
2,1815072887839047972,2024-07-21,NEU,not ironic
3,1815072887369592856,2024-07-21,NEU,not ironic
4,1815072887109255409,2024-07-21,NEG,not ironic
5,1815072887092748437,2024-07-21,NEU,not ironic
6,1815072886551433407,2024-07-21,NEG,not ironic
7,1815072886409109963,2024-07-21,NEU,not ironic
8,1815072886350037426,2024-07-21,POS,not ironic
9,1815072885506986318,2024-07-21,POS,not ironic
10,1815072885138145475,2024-07-21,NEG,not ironic
11,1815072884525842490,2024-07-21,NEG,ironic
12,1815072883334627614,2024-07-21,NEG,ironic
13,1815072880176341205,2024-07-21,NEU,not ironic
14,1815072879752454445,2024-07-21,NEG,not ironic
15,1815072879513588031,2024-07-21,NEG,not ironic
16,1815072879454687508,2024-07-21,NEG,not ironic
17,1815072879010349528,2024-07-21,NEG,ironic
18,1815072878771269980,2024-07-21,NEG,ironic
19,1815072878641152056,2024-07-21,NEG,not ironic
20,1815072876950609952,2024-07-21,NEG,ironic
21,1815072876439187733,2024-07-21,NEU,not ironic
22,1815072876200104305,2024-07-21,POS,not ironic
23,1815072876115972364,2024-07-21,NEG,ironic
24,1815072874933502049,2024-07-21,NEU,not ironic
25,1815072874111156345,2024-07-21,NEU,not ironic
26,1815072873792606489,2024-07-21,NEG,not ironic
27,1815072872634691650,2024-07-21,NEG,not ironic
28,1815072872433414246,2024-07-21,NEU,not ironic
29,1815072872395854178,2024-07-21,NEU,not ironic
30,1815072872286794141,2024-07-21,NEG,not ironic
31,1815072871560933660,2024-07-21,NEG,ironic
32,1815072871456121247,2024-07-21,NEG,not ironic
33,1815072870797545747,2024-07-21,NEU,ironic
34,1815072870646853901,2024-07-21,NEG,not ironic
35,1815072870424588504,2024-07-21,NEG,ironic
36,1815072870286201107,2024-07-21,NEG,not ironic
37,1815072870151704723,2024-07-21,NEU,ironic
38,1815072868394504520,2024-07-21,NEU,not ironic
39,1815072868012892441,2024-07-21,NEG,not ironic
40,1815072867987468772,2024-07-21,NEU,not ironic
41,1815072867639603387,2024-07-21,NEG,not ironic
42,1815072867572191300,2024-07-21,NEU,not ironic
43,1815072867286990967,2024-07-21,NEU,not ironic
44,1815072867161157703,2024-07-21,NEG,ironic
45,1815072866984943934,2024-07-21,NEG,ironic
46,1815072866955616671,2024-07-21,NEU,not ironic
47,1815072866280583171,2024-07-21,POS,not ironic
48,1815072865806602437,2024-07-21,NEG,ironic
49,1815072865235927067,2024-07-21,NEU,not ironic
50,1815072864875536889,2024-07-21,NEG,not ironic
51,1815072864321863947,2024-07-21,NEG,not ironic
52,1815072864145408441,2024-07-21,NEU,not ironic
53,1815072863998615731,2024-07-21,NEG,not ironic
54,1815072863889858850,2024-07-21,NEG,ironic
55,1815072863747215434,2024-07-21,NEG,ironic
56,1815072860802580683,2024-07-21,NEG,not ironic
57,1815072860429271205,2024-07-21,NEG,not ironic
58,1815072859523272793,2024-07-21,NEG,not ironic
59,1815072859225813047,2024-07-21,POS,not ironic
60,1815072859133231222,2024-07-21,NEG,ironic
61,1815072858626039932,2024-07-21,NEG,ironic
62,1815072858521145568,2024-07-21,POS,ironic
63,1815072857766117494,2024-07-21,POS,not ironic
64,1815072857677775300,2024-07-21,NEU,not ironic
65,1815072857619062892,2024-07-21,NEU,not ironic
66,1815072857203868019,2024-07-21,NEU,not ironic
67,1815072856763756787,2024-07-21,NEG,not ironic
68,1815072855673221206,2024-07-21,NEU,not ironic
69,1815072855396323333,2024-07-21,NEG,ironic
70,1815072855006351783,2024-07-21,POS,ironic
71,1815072853542486272,2024-07-21,NEG,not ironic
72,1815072852996972651,2024-07-21,POS,not ironic
73,1815072852762059119,2024-07-21,NEG,not ironic
74,1815072851340431625,2024-07-21,NEG,not ironic
75,1815072851294400664,2024-07-21,NEU,not ironic
76,1815072851164352961,2024-07-21,NEG,not ironic
77,1815072850946224526,2024-07-21,POS,not ironic
78,1815072849293685098,2024-07-21,NEU,not ironic
79,1815072848819429391,2024-07-21,NEG,not ironic
80,1815072848618070510,2024-07-21,NEG,not ironic
81,1815072848337072637,2024-07-21,NEG,not ironic
82,1815072847913529445,2024-07-21,NEU,not ironic
83,1815072847900860869,2024-07-21,NEG,not ironic
84,1815072846495777272,2024-07-21,POS,not ironic
85,1815072845866700941,2024-07-21,NEU,ironic
86,1815072845866610917,2024-07-21,NEG,not ironic
87,1815072845652750732,2024-07-21,NEG,not ironic
88,1815072844037996745,2024-07-21,NEG,ironic
89,1815072843874381845,2024-07-21,NEU,not ironic
90,1815072842242781603,2024-07-21,NEG,ironic
91,1815072842163118428,2024-07-21,NEG,not ironic
92,1815072841827557830,2024-07-21,NEG,not ironic
93,1815072840653402439,2024-07-21,NEG,ironic
94,1815072839483191401,2024-07-21,NEG,not ironic
95,1815072839424438587,2024-07-21,NEU,not ironic
96,1815072838413430920,2024-07-21,NEG,ironic
97,1815072836278427655,2024-07-21,NEU,not ironic
98,1815072836131930286,2024-07-21,NEG,not ironic
99,1815072835649564778,2024-07-21,NEG,not ironic
100,1815072833694822490,2024-07-21,NEU,not ironic
101,1815072833669628284,2024-07-21,POS,not ironic
102,1815072833472491529,2024-07-21,NEU,not ironic
103,1815072833396986012,2024-07-21,NEG,not ironic
104,1815072833153990724,2024-07-21,NEU,not ironic
105,1815072830679404966,2024-07-21,NEU,ironic
106,1815072830494589092,2024-07-21,NEG,not ironic
107,1815072830456844336,2024-07-21,NEG,not ironic
108,1815072829857022132,2024-07-21,POS,not ironic
109,1815072829643333724,2024-07-21,NEG,not ironic
110,1815072829391683999,2024-07-21,NEG,ironic
111,1815072829164929372,2024-07-21,NEG,ironic
112,1815072828867142062,2024-07-21,NEG,not ironic
113,1815072828850569507,2024-07-21,NEG,ironic
114,1815072828489879679,2024-07-21,POS,not ironic
115,1815072828057878696,2024-07-21,NEG,ironic
116,1815072827940229470,2024-07-21,NEG,not ironic
117,1815072827747475704,2024-07-21,NEG,ironic
118,1815072826681872754,2024-07-21,NEU,not ironic
119,1815072826459857205,2024-07-21,NEG,not ironic
120,1815072826337984553,2024-07-21,NEU,ironic
121,1815072826258231636,2024-07-21,NEU,not ironic
122,1815072826183041385,2024-07-21,NEU,not ironic
123,1815072825407066578,2024-07-21,NEU,not ironic
124,1815072825260089798,2024-07-21,POS,not ironic
125,1815072825017041167,2024-07-21,NEG,ironic
126,1815072823565533215,2024-07-21,NEU,not ironic
127,1815072823351591066,2024-07-21,NEU,not ironic
128,1815072823339299175,2024-07-21,NEU,ironic
129,1815072823242600791,2024-07-21,NEG,ironic
130,1815072822529814844,2024-07-21,NEG,not ironic
131,1815072822382760015,2024-07-21,NEU,not ironic
132,1815072822194319428,2024-07-21,NEG,ironic
133,1815072822089175337,2024-07-21,NEG,not ironic
134,1815072822047261141,2024-07-21,NEG,not ironic
