,id,date,sentiment,irony
0,1811580888020291913,2024-07-12,NEG,not ironic
1,1811580887965843907,2024-07-12,NEG,not ironic
2,1811580887555068148,2024-07-12,NEG,not ironic
3,1811580887244448176,2024-07-12,NEG,not ironic
4,1811580886779068456,2024-07-12,NEU,not ironic
5,1811580886338728150,2024-07-12,NEG,not ironic
6,1811580886195810687,2024-07-12,NEG,not ironic
7,1811580886086983806,2024-07-12,NEU,ironic
8,1811580886040609131,2024-07-12,NEG,ironic
9,1811580885256290804,2024-07-12,NEG,not ironic
10,1811580884446798074,2024-07-12,NEG,not ironic
11,1811580884325163437,2024-07-12,NEU,not ironic
12,1811580883868033107,2024-07-12,NEG,not ironic
13,1811580883805090086,2024-07-12,NEU,not ironic
14,1811580883750826452,2024-07-12,NEU,not ironic
15,1811580883549212693,2024-07-12,NEG,not ironic
16,1811580883415265564,2024-07-12,NEG,not ironic
17,1811580882366484781,2024-07-12,POS,not ironic
18,1811580882328707132,2024-07-12,NEG,not ironic
19,1811580882194694621,2024-07-12,NEG,not ironic
20,1811580881485611403,2024-07-12,NEG,not ironic
21,1811580881217212815,2024-07-12,NEG,not ironic
22,1811580881120956608,2024-07-12,POS,ironic
23,1811580880936108524,2024-07-12,NEG,not ironic
24,1811580880818757784,2024-07-12,NEG,not ironic
25,1811580880713847177,2024-07-12,NEU,not ironic
26,1811580880390889915,2024-07-12,NEG,ironic
27,1811580880315384279,2024-07-12,NEG,not ironic
28,1811580879900410260,2024-07-12,NEU,ironic
29,1811580879019606108,2024-07-12,NEU,not ironic
30,1811580878855819550,2024-07-12,NEU,not ironic
31,1811580878851543068,2024-07-12,NEU,not ironic
32,1811580878792843465,2024-07-12,POS,not ironic
33,1811580877740134703,2024-07-12,NEG,not ironic
34,1811580877656457479,2024-07-12,NEU,ironic
35,1811580877429965304,2024-07-12,NEG,not ironic
36,1811580876561498547,2024-07-12,NEG,ironic
37,1811580876184051917,2024-07-12,NEU,not ironic
38,1811580876049789176,2024-07-12,POS,not ironic
39,1811580875756212557,2024-07-12,NEU,ironic
40,1811580875361989080,2024-07-12,NEU,not ironic
41,1811580874988880355,2024-07-12,NEG,not ironic
42,1811580874716029435,2024-07-12,NEU,ironic
43,1811580874535895499,2024-07-12,NEG,not ironic
44,1811580874141409493,2024-07-12,NEG,not ironic
45,1811580874107801609,2024-07-12,NEG,ironic
46,1811580873692627217,2024-07-12,NEG,not ironic
47,1811580873692569985,2024-07-12,NEG,not ironic
48,1811580873659048316,2024-07-12,POS,ironic
49,1811580873374072988,2024-07-12,POS,ironic
50,1811580873306722560,2024-07-12,POS,not ironic
51,1811580873164357817,2024-07-12,NEG,not ironic
52,1811580872975327519,2024-07-12,NEU,not ironic
53,1811580872916717815,2024-07-12,NEG,ironic
54,1811580872333619705,2024-07-12,NEU,not ironic
55,1811580872182710357,2024-07-12,NEG,not ironic
56,1811580871935185111,2024-07-12,NEG,ironic
57,1811580871310209299,2024-07-12,NEU,not ironic
58,1811580870303637938,2024-07-12,NEG,not ironic
59,1811580869766771186,2024-07-12,NEG,not ironic
60,1811580869322375294,2024-07-12,NEG,ironic
61,1811580869263401121,2024-07-12,NEG,ironic
62,1811580868856631694,2024-07-12,NEG,not ironic
63,1811580867833409648,2024-07-12,NEG,ironic
64,1811580867245973784,2024-07-12,NEU,ironic
65,1811580866847469832,2024-07-12,POS,ironic
66,1811580866734305523,2024-07-12,POS,not ironic
67,1811580866667380958,2024-07-12,NEG,ironic
68,1811580865807274367,2024-07-12,NEG,ironic
69,1811580865715019993,2024-07-12,NEG,not ironic
70,1811580865388118258,2024-07-12,NEU,ironic
71,1811580865111105721,2024-07-12,NEU,not ironic
72,1811580864918151568,2024-07-12,NEG,not ironic
73,1811580864553181604,2024-07-12,POS,ironic
74,1811580864494731506,2024-07-12,NEU,not ironic
75,1811580864419016745,2024-07-12,NEU,ironic
76,1811580864284766253,2024-07-12,NEG,not ironic
77,1811580863689191658,2024-07-12,NEG,ironic
78,1811580863643054206,2024-07-12,NEU,not ironic
79,1811580863626317984,2024-07-12,NEU,not ironic
80,1811580862833791424,2024-07-12,NEG,ironic
81,1811580862665781653,2024-07-12,NEG,ironic
82,1811580862653198609,2024-07-12,POS,not ironic
83,1811580862271496677,2024-07-12,NEG,ironic
84,1811580861503955246,2024-07-12,NEU,not ironic
85,1811580861038395531,2024-07-12,NEG,not ironic
86,1811580861000679769,2024-07-12,NEG,ironic
87,1811580860992278691,2024-07-12,NEG,not ironic
88,1811580860975423534,2024-07-12,NEG,not ironic
89,1811580860354777317,2024-07-12,NEU,not ironic
90,1811580860300439821,2024-07-12,NEG,not ironic
91,1811580860010791061,2024-07-12,NEG,not ironic
92,1811580859730026643,2024-07-12,NEU,not ironic
93,1811580857586434504,2024-07-12,NEU,not ironic
94,1811580857301537037,2024-07-12,POS,not ironic
95,1811580857104146614,2024-07-12,NEG,ironic
96,1811580856517165548,2024-07-12,NEG,not ironic
97,1811580856022217182,2024-07-12,NEG,not ironic
98,1811580855795507426,2024-07-12,NEG,not ironic
99,1811580855694889401,2024-07-12,NEG,ironic
100,1811580855678062879,2024-07-12,NEG,ironic
101,1811580855523115091,2024-07-12,POS,ironic
102,1811580855468412959,2024-07-12,POS,not ironic
103,1811580855350968488,2024-07-12,NEG,not ironic
104,1811580855120277631,2024-07-12,NEG,not ironic
105,1811580854680060405,2024-07-12,NEG,not ironic
106,1811580854646301176,2024-07-12,NEG,not ironic
107,1811580854172549483,2024-07-12,POS,not ironic
108,1811580854118031646,2024-07-12,NEG,ironic
109,1811580854008725886,2024-07-12,NEU,not ironic
110,1811580853652492552,2024-07-12,NEU,not ironic
111,1811580853450924137,2024-07-12,POS,not ironic
112,1811580853241413687,2024-07-12,NEG,not ironic
113,1811580853174067606,2024-07-12,NEG,not ironic
114,1811580852897251443,2024-07-12,NEU,not ironic
